City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Chabahar,IR,25.2919,60.643,87.76,74,5,7.11,clear sky
244,Gamba,GA,-2.65,10.0,75.63,75,77,6.44,broken clouds
245,Souillac,MU,-20.5167,57.5167,77.36,69,75,13.8,broken clouds
246,Ahipara,NZ,-35.1667,173.1667,54.95,79,97,15.9,overcast clouds
247,Vielsalm,BE,50.2841,5.915,65.86,92,100,8.16,overcast clouds
248,Hofn,IS,64.2539,-15.2082,53.62,82,75,6.91,broken clouds
249,Camden,US,39.7835,-74.9663,74.79,90,97,3.62,overcast clouds
250,Carnarvon,AU,-24.8667,113.6333,69.87,70,40,13.8,scattered clouds
251,Vallenar,CL,-28.5708,-70.7581,47.32,69,0,1.86,clear sky
252,Burnie,AU,-41.0667,145.9167,53.92,86,59,14.23,light rain
253,Upernavik,GL,72.7868,-56.1549,43.45,71,100,7.83,overcast clouds
254,Dhidhdhoo,MV,6.8833,73.1,82.35,77,95,14.29,overcast clouds
255,Saint-Joseph,RE,-21.3667,55.6167,75.58,63,1,12.19,clear sky
256,Filingue,NE,14.3521,3.3168,86.54,56,96,17.78,overcast clouds
257,Dubbo,AU,-32.25,148.6167,50.13,81,75,4.61,broken clouds
258,Fortuna,US,40.5982,-124.1573,61.41,92,100,1.01,overcast clouds
259,Xichang,CN,27.8964,102.2634,83.5,56,50,3.85,scattered clouds
260,Half Moon Bay,US,37.4636,-122.4286,64.63,87,1,0.0,clear sky
261,Coquimbo,CL,-29.9533,-71.3436,47.93,81,0,8.05,clear sky
262,Port Blair,IN,11.6667,92.75,83.52,81,90,20.96,overcast clouds
263,Chokurdakh,RU,70.6333,147.9167,51.57,47,100,14.34,overcast clouds
264,Saryozek,KZ,44.3583,77.9753,99.79,11,0,11.45,clear sky
265,Karla,EE,59.3723,24.9275,82.15,41,0,6.91,clear sky
266,Virden,US,39.5009,-89.7679,71.38,90,74,5.66,broken clouds
267,Saint-Pierre,RE,-21.3393,55.4781,76.68,61,0,27.63,clear sky
268,Ishigaki,JP,24.3448,124.1572,86.13,89,75,9.22,broken clouds
269,Marsabit,KE,2.3284,37.9899,71.1,38,16,18.28,few clouds
270,Saint-Philippe,RE,-21.3585,55.7679,76.59,67,1,10.83,clear sky
271,Tangshan,CN,39.6333,118.1833,86.77,62,83,9.73,broken clouds
272,Konosha,RU,60.9736,40.257,73.17,43,99,10.71,overcast clouds
273,Kruisfontein,ZA,-34.0033,24.7314,72.88,22,100,18.07,overcast clouds
274,Komatipoort,ZA,-25.4332,31.9548,70.05,45,2,3.67,clear sky
275,Macas,EC,-2.3167,-78.1167,64.31,88,64,3.2,broken clouds
276,Narsaq,GL,60.9167,-46.05,48.42,51,77,4.45,broken clouds
277,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,90,16.11,overcast clouds
278,Chapais,CA,49.7834,-74.8492,51.58,95,75,4.05,broken clouds
279,Gimli,CA,50.6336,-96.9907,64.06,75,79,5.14,broken clouds
280,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,77,65,7.45,broken clouds
281,Ketchikan,US,55.3422,-131.6461,52.27,93,90,3.44,overcast clouds
282,Magaria,NE,12.9983,8.9099,81.52,66,100,14.94,overcast clouds
283,Saint-Francois,FR,46.4154,3.9054,73.18,70,75,9.22,broken clouds
284,Pimentel,PE,-6.8367,-79.9342,64.69,87,40,1.99,scattered clouds
285,Zatoka,UA,46.0725,30.4654,86.54,59,0,7.74,clear sky
286,Kaduna,NG,10.5222,7.4383,74.93,81,98,9.93,light rain
287,Pangnirtung,CA,66.1451,-65.7125,51.4,91,97,5.23,overcast clouds
288,Andros Town,BS,24.7,-77.7667,80.56,75,77,8.23,broken clouds
289,Tambopata,PE,-12.7333,-69.1833,67.41,75,2,2.71,clear sky
290,Paita,PE,-5.0892,-81.1144,64.89,89,26,12.06,scattered clouds
291,Chaman,PK,30.9236,66.4512,103.64,8,0,7.61,clear sky
292,Talnakh,RU,69.4865,88.3972,69.96,72,99,2.37,light rain
293,Rawson,AR,-43.3002,-65.1023,39.83,54,22,21.88,few clouds
294,Mizdah,LY,31.4451,12.9801,86.05,29,0,8.08,clear sky
295,Dalbandin,PK,28.8947,64.4101,109.22,7,7,1.54,clear sky
296,Almaznyy,RU,48.0448,40.045,87.94,31,67,8.43,broken clouds
297,Mecca,SA,21.4267,39.8261,100.11,25,26,11.12,scattered clouds
298,Capao Da Canoa,BR,-29.7456,-50.0097,64.15,90,93,4.0,overcast clouds
299,Guadix,ES,37.2993,-3.1392,74.97,53,0,5.35,clear sky
300,Norman Wells,CA,65.282,-126.8329,57.24,88,75,4.61,light rain
301,Nantucket,US,41.2835,-70.0995,73.99,93,90,12.66,mist
302,Jiangyou,CN,31.7667,104.7167,86.45,66,27,2.26,moderate rain
303,Linxia,CN,35.6003,103.2064,68.72,59,100,1.54,overcast clouds
304,Sovetskiy,RU,61.3614,63.5842,67.87,37,47,8.03,scattered clouds
305,Plettenberg Bay,ZA,-34.0527,23.3716,69.06,32,100,13.35,overcast clouds
306,Rocha,UY,-34.4833,-54.3333,51.78,93,93,7.47,overcast clouds
307,Port Lincoln,AU,-34.7333,135.8667,55.8,70,8,13.6,clear sky
308,Iquitos,PE,-3.7481,-73.2472,73.44,100,75,3.44,broken clouds
309,Mahibadhoo,MV,3.7833,72.9667,81.25,76,100,8.39,overcast clouds
310,Ann Arbor,US,42.2776,-83.7409,69.19,89,1,0.0,clear sky
311,Luderitz,NA,-26.6481,15.1594,75.63,28,64,11.95,broken clouds
312,San Jose,US,37.3394,-121.895,65.35,80,1,0.0,clear sky
313,Naze,JP,28.3667,129.4833,79.72,86,100,14.99,overcast clouds
314,Svetlogorsk,BY,52.6333,29.7333,80.47,46,33,5.93,scattered clouds
315,Shatki,RU,55.1887,44.1249,74.64,34,37,6.2,scattered clouds
316,Pucallpa,PE,-8.3791,-74.5539,68.49,85,6,1.63,clear sky
317,Ust-Maya,RU,60.4167,134.5333,75.54,58,3,3.56,clear sky
318,Sijunjung,ID,-0.6876,100.9537,88.14,54,71,3.85,broken clouds
319,Oeiras,BR,-7.0253,-42.1311,70.65,72,13,9.91,few clouds
320,Aflao,TG,6.116,1.1914,79.29,69,27,12.86,scattered clouds
321,Manavalakurichi,IN,8.1333,77.3,84.29,73,63,18.45,broken clouds
322,Inuvik,CA,68.3499,-133.7218,52.66,87,90,2.3,overcast clouds
