City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
475,Ponnani,IN,83.52,overcast clouds,10.767,75.9252,Rouba Residency
479,Mangan,IN,83.28,heavy intensity rain,27.5167,88.5333,Hotel Mout View
484,Salinopolis,BR,77.4,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
493,Macapa,BR,78.78,scattered clouds,0.0389,-51.0664,Atalanta Hotel
494,Dandong,CN,84.81,overcast clouds,40.1292,124.3947,Yiranju Farmstay
495,Basoko,CD,87.87,light rain,1.2391,23.616,Jackyna Hotel
498,Coahuayana,MX,76.96,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
504,Shubarshi,KZ,83.17,clear sky,48.5872,57.1869,
506,Itarema,BR,75.07,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
508,Shahr-E Kord,IR,89.37,scattered clouds,32.3256,50.8644,Shahrekord Tourist Hotel
512,Tottori,JP,84.27,few clouds,35.5,134.2333,Hotel Monarque Tottori
518,Boulder City,US,77.65,broken clouds,35.9786,-114.8325,Boulder Dam Hotel
524,Bolitoc,PH,81.97,overcast clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
529,Levelland,US,77.2,overcast clouds,33.5873,-102.378,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
535,Katsuura,JP,84.11,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
538,Taksimo,RU,79.43,clear sky,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
542,Iracoubo,GF,75.43,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
544,Soure,BR,78.19,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
552,Saceni,RO,84.07,clear sky,44.2333,25.0667,
555,Mount Pleasant,US,78.98,broken clouds,32.7941,-79.8626,Best Western Patriots Point
559,Davila,PH,82.42,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
561,San Roque,ES,79.61,broken clouds,36.2107,-5.3842,Hotel Guadacorte Park
563,Khandbari,NP,80.94,light rain,27.3747,87.2039,Sainik Hotel And Lodge
564,Luocheng,CN,83.48,light rain,29.3848,104.0286,Luocheng Hotel
566,Datong,CN,82.65,moderate rain,40.0936,113.2914,Holiday Inn Datong City Centre
569,Magistralnyy,RU,84.96,broken clouds,56.1725,107.4458,Магистраль
571,Kamogawa,JP,84.06,heavy intensity rain,35.1,140.1,Kamogawa Grand Hotel
574,Banda Aceh,ID,86.7,overcast clouds,5.5577,95.3222,Sulthan Hotel International
576,Semirom,IR,81.36,clear sky,31.4167,51.5667,Motel Dena
581,South River,US,75.2,overcast clouds,40.4465,-74.386,"Holiday Inn Express & Suites Tower Center New Brunswick, an IHG Hotel"
